pitcher_ask_amount,ask_equity,ask_valuation,total_sharks_invested,Total equity
50,5,1000,3,16
40,15,266.67,2,50
25,10,250,2,30
70,1,7000,1,2.75
50,5,1000,0,0
50,5,1000,0,0
100,0.25,40000,0,0
75,4,1875,1,6
50,2,2500,1,15
50,7.5,666.67,2,25
50,10,500,0,0
75,4,1875,2,7.5
100,1,10000,2,1.5
50,5,1000,0,0
10,20,50,0,0
45,5,900,5,15
50,10,500,1,20
100,1,10000,0,0
100,2,5000,2,4
75,1,7500,0,0
50,7.5,666.67,0,0
50,2.5,2000,2,2.5
56,7.5,746.67,2,33.3
30,3,1000,1,6
50,5,1000,2,7
50,2.5,2000,2,10
100,5,2000,0,0
25,5,500,3,20
30,5,600,3,20
30,2,1500,3,3
30000,25,120000,0,0
50,5,1000,1,15
30,10,300,2,20
75,4,1875,1,15
40,3,1333.33,0,0
40,5,800,3,24
30,5,600,3,3
50,10,500,2,20
50,2,2500,4,10
100,3,3333.33,2,6
100,3,3333.33,0,0
45,5,900,0,0
30,3,1000,1,40
50,4,1250,1,25
5,5,100,3,5.000000001
80,4,2000,2,3.5
75,7,1071.43,0,0
75,4,1875,2,15
45,2,2250,2,12
50,10,500,5,25
150,3,5000,3,15
50,5,1000,0,0
80,10,800,1,20
90,3,3000,0,0
50,4,1250,0,0
100,1,10000,1,1
50,2.5,2000,0,0
15,5,300,0,0
50,5,1000,4,10
125,1.25,10000,0,0
120,8,1500,0,0
65,2,3250,1,3
35,5,700,0,0
50,2,2500,5,10
100,8,1250,3,15
47,10,470,1,75
35,5,700,2,24
60,2,3000,3,3.999999999
75,5,1500,0,0
80,5,1600,0,0
50,2,2500,0,0
100,5,2000,1,10
100,1,10000,0,0
30,5,600,0,0
75,5,1500,0,0
40,8,500,2,35
30,10,300,1,40
20,10,200,0,0
50,4,1250,1,15
100,2,5000,5,6
150,2,7500,0,0
50,8,625,1,50
50,10,500,0,0
65,1,6500,1,3
50,10,500,0,0
0.00101,10,0.01,4,4
60,5,1200,0,0
100,1,10000,1,4
75,4,1875,3,15
90,5,1800,0,0
50,5,1000,3,30
75,5,1500,3,21
75,3,2500,0,0
100,3.5,2857.14,0,0
75,15,500,0,0
80,1,8000,2,6
300,1,30000,0,0
50,7.5,666.67,0,0
50,10,500,0,0
60,2.5,2400,0,0
75,2,3750,1,2.68
75,3,2500,0,0
80,7,1142.86,0,0
200,4,5000,0,0
50,1,5000,1,2
35,6,583.33,0,0
40,10,400,1,25
40,5,800,0,0
40,2,2000,3,9.999999999
35,1,3500,2,10
40,10,400,4,20
30,7.5,400,0,0
60,2,3000,0,0
100,1,10000,0,0
40,8,500,4,30
50,4,1250,0,0
100,2.5,4000,0,0
